sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-100,1,123,8,0,,,-3,,
2,-100,1,49,7,0,,,-3,,
3,-100,1,41,11,0,,,-3,,
4,-100,1,342,8,0,,,-3,,
5,-100,1,5,12,0,,,-3,,
6,-100,1,32,5,0,,,-3,,
7,-99,1,9,4,0,picker-3,,1,,628.0
8,-99,1,66,3,0,picker-3,,1,,702.0
9,-98,1,342,5,0,picker-1,,1,,429.0
10,-97,1,196,6,0,picker-3,,1,,941.0
11,-96,1,186,3,0,picker-1,,1,0.0,147.0
12,-96,1,403,6,0,picker-1,,1,0.0,250.0
13,-95,1,0,11,0,picker-3,,1,,454.0
14,-94,1,10,10,0,,,-3,,
15,-94,1,43,4,0,,,-3,,
16,-94,1,16,10,0,,,-3,,
17,-94,1,88,11,0,,,-3,,
18,-94,1,313,12,0,,,-3,,
19,-94,1,75,6,0,,,-3,,
20,-93,1,23,12,0,,,-3,,
21,-93,1,164,8,0,,,-3,,
22,-93,1,37,5,0,,,-3,,
23,-92,1,33,10,0,picker-1,,1,0.0,139.0
24,-91,1,153,6,0,picker-3,,1,,1766.0
25,-91,1,14,11,0,picker-3,,1,,1751.0
26,-90,1,8,8,0,picker-3,,1,0.0,196.0
27,-89,1,46,4,0,picker-2,,1,,420.0
28,-88,1,36,8,0,picker-2,,1,,442.0
29,-88,1,2,2,0,picker-2,,1,,370.0
30,-87,1,66,7,0,picker-3,,1,,702.0
31,-86,1,129,1,0,picker-2,,1,0.0,173.0
32,-86,1,1,2,0,picker-2,,1,0.0,149.0
33,-86,1,40,6,0,picker-2,,1,0.0,101.0
34,-85,1,30,5,0,picker-3,,1,,897.0
35,-84,1,499,7,0,picker-1,,1,0.0,118.0
36,-83,1,86,10,0,,,-3,,
37,-83,1,12,10,0,,,-3,,
38,-83,1,138,2,0,,,-3,,
39,-83,1,121,6,0,,,-3,,
40,-83,1,46,10,0,,,-3,,
41,-82,1,14,6,0,picker-1,,1,,306.0
42,-82,1,236,10,0,picker-1,,1,,353.0
43,-82,1,36,7,0,picker-1,,1,,326.0
44,-81,1,8,6,0,picker-3,,1,0.0,196.0
45,-80,1,1,8,0,picker-2,,1,0.0,149.0
46,-79,1,188,11,0,,,-3,,
47,-79,1,93,4,0,,,-3,,
48,-78,1,265,6,0,picker-1,,1,0.0,165.0
49,-78,1,204,5,0,picker-1,,1,0.0,76.0
50,-77,1,286,7,0,picker-1,,1,0.0,232.0
51,-77,1,24,4,0,picker-1,,1,0.0,87.0
52,-76,1,92,4,0,picker-1,,1,0.0,212.0
53,-76,1,431,10,0,picker-1,,1,0.0,64.0
54,-75,1,0,6,0,,,-3,,
55,-75,1,156,8,0,,,-3,,
56,-75,1,157,8,0,,,-3,,
57,-74,1,131,8,0,,,-3,,
58,-74,1,96,8,0,,,-3,,
59,-74,1,12,8,0,,,-3,,
60,-73,1,247,6,0,,,-3,,
61,-73,1,138,4,0,,,-3,,
62,-73,1,6,8,0,,,-3,,
63,-72,1,13,2,0,picker-3,,1,,1338.0
64,-72,1,321,9,0,picker-3,,1,,1331.0
65,-72,1,0,5,0,picker-3,,1,,1266.0
66,-71,1,235,11,0,,,-3,,
67,-71,1,87,8,0,,,-3,,
68,-70,1,34,10,0,picker-3,,1,,489.0
69,-70,1,150,8,0,picker-3,,1,,518.0
70,-69,1,28,1,0,,,-3,,
71,-69,1,94,4,0,,,-3,,
72,-69,1,172,11,0,,,-3,,
73,-68,1,1,11,0,picker-2,,1,0.0,149.0
74,-68,1,107,10,0,picker-2,,1,0.0,172.0
75,-67,1,160,10,0,picker-1,,1,0.0,191.0
76,-66,1,39,8,0,picker-3,,1,,1224.0
77,-66,1,0,4,0,picker-3,,1,,1243.0
78,-65,1,26,8,0,,,-3,,
79,-65,1,49,10,0,,,-3,,
80,-65,1,151,8,0,,,-3,,
81,-64,1,57,8,0,,,-3,,
82,-64,1,480,9,0,,,-3,,
83,-63,1,36,9,0,picker-1,,1,,288.0
84,-62,1,28,10,0,picker-3,,1,,607.0
85,-61,1,312,3,0,,,-3,,
86,-61,1,261,7,0,,,-3,,
87,-61,1,21,6,0,,,-3,,
88,-61,1,49,8,0,,,-3,,
89,-61,1,29,7,0,,,-3,,
90,-60,1,41,2,0,picker-1,,1,,492.0
91,-60,1,26,6,0,picker-1,,1,,482.0
92,-59,1,196,4,0,picker-3,,1,,964.0
93,-58,1,14,8,0,picker-2,,1,,218.0
