pod_id,item_id,qty,order_id,processed_time,task_type
42,42,8,-73,76,1
26,24,2,-7,77,1
50,36,4,-100,86,1
51,48,5,-7,95,1
72,6,5,-28,108,1
72,6,5,-94,108,1
123,25,7,-7,112,1
18,422,2,-91,116,1
149,53,8,-28,127,1
74,266,5,-95,128,1
142,0,10,-49,134,1
58,46,11,-94,148,1
33,5,9,-37,158,1
30,23,6,-28,167,1
8,246,12,-67,169,1
8,177,4,-13,169,1
37,48,10,-100,190,1
40,19,3,-27,202,1
128,463,7,-99,206,1
128,124,6,-77,206,1
6,1,8,-59,207,1
6,19,10,-7,207,1
158,229,2,-91,212,1
12,3,3,-70,214,1
148,315,5,-85,225,1
23,31,12,-27,244,1
215,469,10,-83,247,1
77,137,6,-71,254,1
170,54,6,-76,269,1
54,0,3,-13,290,1
54,0,6,-59,290,1
54,0,7,-67,290,1
54,0,8,-12,290,1
54,0,10,-7,290,1
54,0,2,-49,290,1
54,72,4,-13,290,1
293,52,4,-57,314,1
293,52,7,-12,314,1
349,78,11,-76,316,1
161,6,5,-80,326,1
161,6,5,-37,326,1
413,162,8,-13,333,1
327,370,10,-83,342,1
82,40,6,-45,348,1
2,6,1,-94,352,1
2,6,7,-100,352,1
2,6,2,-80,352,1
27,35,8,-62,364,1
29,6,2,-37,378,1
29,6,7,-27,378,1
29,6,1,-73,378,1
44,46,2,25,400,1
26,6,10,-70,404,1
76,83,6,-100,423,1
214,230,6,25,436,1
106,6,9,-73,449,1
106,6,1,-70,449,1
172,26,6,21,455,1
187,305,6,9,479,1
9,0,4,29,486,1
192,50,6,-28,487,1
192,50,10,-94,487,1
250,6,1,-70,495,1
193,21,4,1,496,1
7,3,7,-66,498,1
63,13,8,-75,517,1
146,284,8,-100,517,1
51,12,7,22,519,1
308,85,4,-37,531,1
3,15,8,21,541,1
25,353,7,-15,554,1
36,30,4,29,565,1
317,263,10,-2,587,1
28,29,4,18,598,1
92,277,6,18,612,1
156,186,6,-86,617,1
42,18,3,-11,631,1
115,47,9,-22,633,1
94,9,4,-52,648,1
0,27,7,-23,649,1
22,13,6,-46,655,1
22,26,10,-46,655,1
200,6,7,15,667,1
114,14,6,-51,673,1
31,48,7,62,693,1
32,44,10,15,693,1
275,0,7,36,713,1
207,69,10,2,719,1
55,29,9,52,729,1
19,8,1,38,730,1
19,8,4,36,730,1
110,277,4,-18,742,1
66,17,6,17,748,1
69,41,4,67,753,1
8,168,9,61,772,1
76,11,2,-65,777,1
49,28,4,-35,786,1
342,70,12,-87,811,1
125,34,11,-54,812,1
124,45,4,-48,822,1
9,0,4,10,838,1
330,17,11,-44,839,1
123,135,6,-32,857,1
56,1,6,10,859,1
34,32,8,-19,868,1
121,8,6,60,877,1
17,1,7,87,884,1
18,34,4,53,896,1
63,114,11,-96,910,1
225,77,6,-96,928,1
161,5,6,-20,939,1
257,99,6,50,946,1
37,10,4,81,950,1
120,15,4,91,960,1
23,0,8,3,961,1
297,385,2,65,962,1
3,15,4,91,974,1
118,257,8,28,983,1
409,70,5,-92,990,1
32,438,10,101,1003,1
6,15,5,6,1006,1
62,47,3,102,1014,1
102,451,5,84,1023,1
290,5,1,-72,1024,1
99,33,5,-5,1065,1
1,14,5,85,1068,1
112,11,6,59,1071,1
54,7,5,108,1078,1
110,72,3,125,1086,1
68,268,1,-47,1099,1
128,10,11,94,1116,1
195,97,6,-14,1124,1
88,2,7,-30,1128,1
4,36,4,104,1134,1
183,6,4,4,1135,1
59,44,2,57,1141,1
