pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,233,0,0,0,80,80,99999,0,0,0,0.179,14.32,0.6,0.5
0,0,1,0,146,0,0,0,24,24,99999,0,0,1,0.561,13.464,0.5,0.4
0,0,2,0,270,0,0,0,80,80,99999,0,0,2,0.924,73.92,0.6,0.5
0,0,3,0,19,0,0,0,12,12,99999,0,0,3,0.28,3.36,0.4,0.3
0,0,4,0,351,0,0,0,192,192,99999,0,0,4,0.368,70.656,0.6,0.5
0,0,5,0,16,0,0,0,12,12,99999,0,0,5,0.301,3.612,0.4,0.3
0,0,6,0,269,0,0,0,36,36,99999,0,0,6,0.126,4.536,0.6,0.5
0,0,7,0,366,0,0,0,72,72,99999,0,0,7,0.643,46.296,0.6,0.5
0,0,8,0,30,0,0,0,24,24,99999,0,0,8,0.387,9.288,0.4,0.3
0,0,9,0,10,0,0,0,210,210,99999,0,0,9,0.118,24.78,0.4,0.3
1,0,0,0,22,0,0,0,72,72,99999,0,0,10,0.125,9.0,0.4,0.3
1,0,1,0,308,0,0,0,180,180,99999,0,0,11,0.109,19.62,0.6,0.5
1,0,2,0,313,0,0,0,12,12,99999,0,0,12,0.375,4.5,0.6,0.5
1,0,3,0,145,0,0,0,24,24,99999,0,0,13,0.288,6.912,0.5,0.4
1,0,4,0,299,0,0,0,432,432,99999,0,0,14,0.161,69.552,0.6,0.5
1,0,5,0,295,0,0,0,18,18,99999,0,0,15,2.168,39.024,0.6,0.5
1,0,6,0,45,0,0,0,72,72,99999,0,0,16,0.125,9.0,0.4,0.3
1,0,7,0,315,0,0,0,20,20,99999,0,0,17,0.228,4.56,0.6,0.5
1,0,8,0,205,0,0,0,60,60,99999,0,0,18,1.05,63.0,0.6,0.5
1,0,9,0,88,0,0,0,180,180,99999,0,0,19,0.108,19.44,0.5,0.4
2,0,0,0,206,0,0,0,120,120,99999,0,0,20,0.155,18.6,0.6,0.5
2,0,1,0,96,0,0,0,96,96,99999,0,0,21,0.668,64.128,0.5,0.4
2,0,2,0,409,0,0,0,48,48,99999,0,0,22,0.218,10.464,0.6,0.5
2,0,3,0,316,0,0,0,32,32,99999,0,0,23,0.468,14.976,0.6,0.5
2,0,4,0,395,0,0,0,36,36,99999,0,0,24,0.461,16.596,0.6,0.5
2,0,5,0,292,0,0,0,384,384,99999,0,0,25,0.269,103.296,0.6,0.5
2,0,6,0,39,0,0,0,360,360,99999,0,0,26,0.276,99.36,0.4,0.3
2,0,7,0,28,0,0,0,12,12,99999,0,0,27,0.387,4.644,0.4,0.3
2,0,8,0,431,0,0,0,10,10,99999,0,0,28,0.73,7.3,0.6,0.5
2,0,9,0,145,0,0,0,24,24,99999,0,0,29,0.288,6.912,0.5,0.4
3,0,0,0,39,0,0,0,360,360,99999,0,0,30,0.276,99.36,0.4,0.3
3,0,1,0,410,0,0,0,84,84,99999,0,0,31,0.542,45.528,0.6,0.5
3,0,2,0,14,0,0,0,12,12,99999,0,0,32,0.41,4.92,0.4,0.3
3,0,3,0,451,0,0,0,72,72,99999,0,0,33,0.662,47.664,0.6,0.5
3,0,4,0,239,0,0,0,24,24,99999,0,0,34,0.433,10.392,0.6,0.5
3,0,5,0,237,0,0,0,24,24,99999,0,0,35,2.24,53.76,0.6,0.5
3,0,6,0,295,0,0,0,18,18,99999,0,0,36,2.168,39.024,0.6,0.5
3,0,7,0,297,0,0,0,168,168,99999,0,0,37,0.072,12.096,0.6,0.5
3,0,8,0,361,0,0,0,312,312,99999,0,0,38,0.328,102.336,0.6,0.5
3,0,9,0,160,0,0,0,10,10,99999,0,0,39,6.195,61.95,0.5,0.4
4,0,0,0,12,0,0,0,8,8,99999,0,0,40,0.306,2.448,0.4,0.3
4,0,1,0,408,0,0,0,96,96,99999,0,0,41,0.088,8.448,0.6,0.5
4,0,2,0,499,0,0,0,240,240,99999,0,0,42,0.336,80.64,0.6,0.5
4,0,3,0,292,0,0,0,384,384,99999,0,0,43,0.269,103.296,0.6,0.5
4,0,4,0,40,0,0,0,24,24,99999,0,0,44,2.218,53.232,0.4,0.3
4,0,5,0,468,0,0,0,210,210,99999,0,0,45,0.115,24.15,0.6,0.5
4,0,6,0,319,0,0,0,48,48,99999,0,0,46,0.397,19.056,0.6,0.5
