metric,comparison,mean_difference,std_difference,min_difference,max_difference,n
throughput,ppo_minus_rika,36.63333333333333,8.256589148541671,19.0,52.0,30
throughput,ppo_minus_random,2.0,23.52694713258204,-20.0,119.0,30
throughput,random_minus_rika,34.63333333333333,22.467575615161252,-78.0,52.0,30
avg_order_completion_time,ppo_minus_rika,-22.017592893634347,6.650028760210498,-37.40436126373626,-10.012638477141536,30
avg_order_completion_time,ppo_minus_random,-1.9594223015936743,7.3343752489103755,-25.180803571428584,8.7506543838646,30
avg_order_completion_time,random_minus_rika,-20.058170592040675,4.888525722535575,-31.61285447139892,-12.22355769230768,30
pod_visits,ppo_minus_rika,-99.73333333333333,13.843791919580548,-129.0,-70.0,30
pod_visits,ppo_minus_random,3.4,19.921570357711296,-29.0,87.0,30
pod_visits,random_minus_rika,-103.13333333333334,19.883684757615473,-192.0,-80.0,30
pile_on_rate,ppo_minus_rika,-2.5077168658025597,0.21650196369229163,-2.9116036460679995,-2.039410447112039,30
pile_on_rate,ppo_minus_random,0.01950518629313785,0.1611806383594887,-0.30782733461550205,0.3260875865866737,30
pile_on_rate,random_minus_rika,-2.5272220520956976,0.2525904604575831,-2.876010781671159,-1.9713127222752584,30
picked_quantity,ppo_minus_rika,-1778.8666666666666,116.15202087791236,-1992.0,-1475.0,30
picked_quantity,ppo_minus_random,27.933333333333334,132.33732586119442,-172.0,547.0,30
picked_quantity,random_minus_rika,-1806.8,137.25068933939068,-2263.0,-1450.0,30
total_energy,ppo_minus_rika,-1155710.3330081,188528.6717969667,-1541525.1932828696,-677033.989119322,30
total_energy,ppo_minus_random,110499.91172198014,278232.4823984211,-248315.50908148754,1270252.0142333163,30
total_energy,random_minus_rika,-1266210.24473008,294440.06434036954,-2635253.3693786114,-838803.0283699604,30
stop_and_go,ppo_minus_rika,-1108.0333333333333,142.6752964948209,-1437.0,-850.0,30
stop_and_go,ppo_minus_random,33.36666666666667,383.47274176681833,-288.0,1898.0,30
stop_and_go,random_minus_rika,-1141.4,365.4804678964296,-2969.0,-832.0,30
total_turning,ppo_minus_rika,-790.3,121.91606779340817,-1051.0,-560.0,30
total_turning,ppo_minus_random,42.46666666666667,292.0094156882184,-206.0,1435.0,30
total_turning,random_minus_rika,-832.7666666666667,294.0294007505833,-2270.0,-566.0,30
run_seconds,ppo_minus_rika,-45.357696436733626,85.78259426099905,-372.2426990615204,141.92240184918046,30
run_seconds,ppo_minus_random,118.12881664813807,230.02374761219886,-1035.0353662767448,360.2102678800002,30
run_seconds,random_minus_rika,-163.4865130848717,225.91685232598684,-503.85673713637516,938.8619642830454,30
