item_id,current_global_qty,max_global_qty,global_inv_level
29,11520,11520,1.0
229,528,528,1.0
273,2100,2100,1.0
36,324,324,1.0
223,144,144,1.0
333,336,336,1.0
9,3240,3240,1.0
357,48,48,1.0
84,168,168,1.0
1,1800,1800,1.0
346,504,504,1.0
335,1584,1584,1.0
259,1728,1728,1.0
341,1056,1056,1.0
418,216,216,1.0
181,120,120,1.0
27,7392,7392,1.0
205,600,600,1.0
105,36,36,1.0
479,648,648,1.0
494,1056,1056,1.0
431,80,80,1.0
49,6240,6240,1.0
315,160,160,1.0
242,180,180,1.0
308,1620,1620,1.0
421,1008,1008,1.0
245,3192,3192,1.0
374,2808,2808,1.0
77,1584,1584,1.0
221,280,280,1.0
66,288,288,1.0
204,450,450,1.0
450,360,360,1.0
495,936,936,1.0
356,144,144,1.0
417,360,360,1.0
385,336,336,1.0
32,2880,2880,1.0
278,56,56,1.0
444,288,288,1.0
220,220,220,1.0
413,2016,2016,1.0
38,7680,7680,1.0
485,450,450,1.0
298,1296,1296,1.0
3,5304,5304,1.0
15,336,336,1.0
294,252,252,1.0
287,186,186,1.0
414,770,770,1.0
371,300,300,1.0
331,72,72,1.0
190,40,40,1.0
26,7560,7560,1.0
13,2208,2208,1.0
22,1944,1944,1.0
40,552,552,1.0
327,88,88,1.0
42,660,660,1.0
459,432,432,1.0
428,240,240,1.0
304,630,630,1.0
31,1584,1584,1.0
12,240,240,1.0
70,192,192,1.0
496,504,504,1.0
193,1600,1600,1.0
342,720,720,1.0
10,5250,5250,1.0
58,792,792,1.0
429,720,720,1.0
388,540,540,1.0
292,3072,3072,1.0
45,1512,1512,1.0
216,180,180,1.0
279,414,414,1.0
402,1078,1078,1.0
258,168,168,1.0
451,648,648,1.0
349,216,216,1.0
210,1248,1248,1.0
406,1248,1248,1.0
7,5376,5376,1.0
208,624,624,1.0
82,1008,1008,1.0
0,936,936,1.0
476,264,264,1.0
319,528,528,1.0
364,660,660,1.0
311,180,180,1.0
14,300,300,1.0
232,189,189,1.0
340,72,72,1.0
33,6240,6240,1.0
108,630,630,1.0
201,840,840,1.0
317,72,72,1.0
448,308,308,1.0
415,180,180,1.0
460,144,144,1.0
202,3120,3120,1.0
215,2640,2640,1.0
239,264,264,1.0
271,3456,3456,1.0
124,36,36,1.0
422,432,432,1.0
228,2508,2508,1.0
139,84,84,1.0
103,1008,1008,1.0
92,150,150,1.0
35,4608,4608,1.0
5,6336,6336,1.0
117,1680,1680,1.0
410,1176,1176,1.0
436,192,192,1.0
489,210,210,1.0
44,2760,2760,1.0
270,720,720,1.0
176,72,72,1.0
359,960,960,1.0
314,462,462,1.0
148,1080,1080,1.0
203,270,270,1.0
412,2160,2160,1.0
199,80,80,1.0
481,1890,1890,1.0
2,576,576,1.0
39,11520,11520,1.0
43,7680,7680,1.0
200,1176,1176,1.0
283,80,80,1.0
250,216,216,1.0
445,75,75,1.0
433,384,384,1.0
289,1680,1680,1.0
389,432,432,1.0
376,324,324,1.0
377,320,320,1.0
171,96,96,1.0
409,528,528,1.0
272,1344,1344,1.0
477,225,225,1.0
25,690,690,1.0
291,120,120,1.0
81,72,72,1.0
407,2304,2304,1.0
214,1512,1512,1.0
484,4320,4320,1.0
257,81,81,1.0
8,1080,1080,1.0
48,7920,7920,1.0
442,3456,3456,1.0
345,168,168,1.0
247,90,90,1.0
466,96,96,1.0
467,2016,2016,1.0
264,672,672,1.0
19,336,336,1.0
275,324,324,1.0
358,216,216,1.0
452,180,180,1.0
165,560,560,1.0
235,270,270,1.0
488,432,432,1.0
381,88,88,1.0
226,427,427,1.0
474,480,480,1.0
18,720,720,1.0
213,48,48,1.0
55,360,360,1.0
46,720,720,1.0
241,78,78,1.0
352,3240,3240,1.0
302,2016,2016,1.0
37,8064,8064,1.0
24,320,320,1.0
390,168,168,1.0
59,144,144,1.0
174,270,270,1.0
23,5040,5040,1.0
115,960,960,1.0
375,1344,1344,1.0
243,432,432,1.0
72,240,240,1.0
397,288,288,1.0
361,1560,1560,1.0
416,160,160,1.0
16,300,300,1.0
427,243,243,1.0
282,576,576,1.0
260,30,30,1.0
369,1728,1728,1.0
109,1584,1584,1.0
188,36,36,1.0
217,576,576,1.0
60,108,108,1.0
209,1470,1470,1.0
47,630,630,1.0
135,480,480,1.0
313,72,72,1.0
17,2376,2376,1.0
310,308,308,1.0
137,90,90,1.0
4,144,144,1.0
138,144,144,1.0
153,294,294,1.0
274,672,672,1.0
185,600,600,1.0
76,36,36,1.0
63,280,280,1.0
11,6864,6864,1.0
252,252,252,1.0
339,360,360,1.0
456,56,56,1.0
61,648,648,1.0
158,576,576,1.0
268,108,108,1.0
129,192,192,1.0
403,672,672,1.0
21,9504,9504,1.0
457,240,240,1.0
458,96,96,1.0
248,672,672,1.0
41,1520,1520,1.0
419,576,576,1.0
438,480,480,1.0
497,210,210,1.0
75,72,72,1.0
78,960,960,1.0
290,3120,3120,1.0
114,1800,1800,1.0
280,240,240,1.0
143,240,240,1.0
328,2808,2808,1.0
267,6336,6336,1.0
469,65,65,1.0
54,1680,1680,1.0
30,648,648,1.0
104,1440,1440,1.0
74,1440,1440,1.0
175,168,168,1.0
240,3744,3744,1.0
355,324,324,1.0
455,160,160,1.0
224,3888,3888,1.0
198,864,864,1.0
71,72,72,1.0
107,144,144,1.0
468,1260,1260,1.0
360,1400,1400,1.0
490,324,324,1.0
405,462,462,1.0
172,120,120,1.0
164,768,768,1.0
233,640,640,1.0
439,84,84,1.0
482,288,288,1.0
463,1632,1632,1.0
206,720,720,1.0
231,192,192,1.0
400,216,216,1.0
437,256,256,1.0
152,72,72,1.0
28,276,276,1.0
20,4320,4320,1.0
34,7392,7392,1.0
363,60,60,1.0
386,360,360,1.0
168,1680,1680,1.0
338,672,672,1.0
465,195,195,1.0
487,144,144,1.0
94,96,96,1.0
378,210,210,1.0
383,81,81,1.0
236,2940,2940,1.0
284,672,672,1.0
449,1890,1890,1.0
123,80,80,1.0
329,240,240,1.0
475,480,480,1.0
132,792,792,1.0
325,162,162,1.0
430,108,108,1.0
86,240,240,1.0
125,192,192,1.0
162,96,96,1.0
367,1890,1890,1.0
67,72,72,1.0
321,900,900,1.0
6,300,300,1.0
230,180,180,1.0
343,1344,1344,1.0
348,960,960,1.0
110,2240,2240,1.0
295,144,144,1.0
196,162,162,1.0
225,520,520,1.0
251,1632,1632,1.0
312,144,144,1.0
470,336,336,1.0
322,485,485,1.0
207,324,324,1.0
142,768,768,1.0
277,576,576,1.0
234,84,84,1.0
156,405,405,1.0
316,288,288,1.0
303,144,144,1.0
53,60,60,1.0
227,180,180,1.0
128,48,48,1.0
330,252,252,1.0
254,252,252,1.0
366,504,504,1.0
483,180,180,1.0
344,240,240,1.0
404,660,660,1.0
401,240,240,1.0
96,384,384,1.0
443,5040,5040,1.0
246,144,144,1.0
145,144,144,1.0
121,15,15,1.0
93,180,180,1.0
372,216,216,1.0
65,96,96,1.0
461,360,360,1.0
408,768,768,1.0
471,576,576,1.0
149,1200,1200,1.0
56,576,576,1.0
262,180,180,1.0
486,96,96,1.0
323,312,312,1.0
399,300,300,1.0
435,45,45,1.0
238,132,132,1.0
69,288,288,1.0
480,189,189,1.0
285,108,108,1.0
189,180,180,1.0
244,648,648,1.0
249,60,60,1.0
182,72,72,1.0
382,216,216,1.0
326,180,180,1.0
395,180,180,1.0
122,144,144,1.0
134,216,216,1.0
88,1080,1080,1.0
261,2496,2496,1.0
454,243,243,1.0
301,3456,3456,1.0
473,600,600,1.0
276,128,128,1.0
307,1872,1872,1.0
133,98,98,1.0
118,1080,1080,1.0
167,720,720,1.0
353,7200,7200,1.0
286,1848,1848,1.0
318,252,252,1.0
493,360,360,1.0
440,216,216,1.0
51,1344,1344,1.0
101,1152,1152,1.0
380,2016,2016,1.0
368,80,80,1.0
187,24,24,1.0
154,2160,2160,1.0
424,576,576,1.0
218,96,96,1.0
446,110,110,1.0
423,336,336,1.0
296,200,200,1.0
472,616,616,1.0
83,1152,1152,1.0
425,900,900,1.0
194,2016,2016,1.0
362,224,224,1.0
150,48,48,1.0
297,1344,1344,1.0
112,1296,1296,1.0
211,2016,2016,1.0
464,1680,1680,1.0
420,400,400,1.0
398,2244,2244,1.0
499,960,960,1.0
