item_id,current_global_qty,max_global_qty,global_inv_level
0,900,900,1.0
1,1944,1944,1.0
2,552,552,1.0
3,7488,7488,1.0
4,156,156,1.0
5,4416,4416,1.0
6,200,200,1.0
7,6912,6912,1.0
8,960,960,1.0
9,4140,4140,1.0
10,6510,6510,1.0
11,8712,8712,1.0
12,232,232,1.0
13,1728,1728,1.0
14,348,348,1.0
15,360,360,1.0
16,312,312,1.0
17,2916,2916,1.0
18,810,810,1.0
19,300,300,1.0
20,5616,5616,1.0
21,8208,8208,1.0
22,1656,1656,1.0
23,4620,4620,1.0
24,440,440,1.0
25,660,660,1.0
26,4680,4680,1.0
27,8736,8736,1.0
28,240,240,1.0
29,10440,10440,1.0
30,432,432,1.0
31,1728,1728,1.0
32,2496,2496,1.0
33,5280,5280,1.0
34,6720,6720,1.0
35,5184,5184,1.0
36,336,336,1.0
37,9216,9216,1.0
38,7296,7296,1.0
39,7920,7920,1.0
40,744,744,1.0
41,1520,1520,1.0
42,630,630,1.0
43,4080,4080,1.0
44,2400,2400,1.0
45,1440,1440,1.0
46,570,570,1.0
47,870,870,1.0
48,9360,9360,1.0
49,7200,7200,1.0
50,108,108,1.0
51,1008,1008,1.0
52,48,48,1.0
53,60,60,1.0
54,1680,1680,1.0
55,360,360,1.0
56,576,576,1.0
57,90,90,1.0
58,2904,2904,1.0
59,216,216,1.0
60,216,216,1.0
61,432,432,1.0
62,240,240,1.0
63,560,560,1.0
64,120,120,1.0
65,72,72,1.0
66,432,432,1.0
67,60,60,1.0
68,1280,1280,1.0
69,240,240,1.0
70,216,216,1.0
71,96,96,1.0
72,480,480,1.0
73,720,720,1.0
74,2304,2304,1.0
75,36,36,1.0
76,36,36,1.0
77,792,792,1.0
78,1440,1440,1.0
79,72,72,1.0
80,32,32,1.0
81,48,48,1.0
82,504,504,1.0
83,2304,2304,1.0
84,96,96,1.0
85,120,120,1.0
86,320,320,1.0
87,96,96,1.0
88,720,720,1.0
89,360,360,1.0
90,48,48,1.0
91,72,72,1.0
92,30,30,1.0
93,90,90,1.0
94,144,144,1.0
95,720,720,1.0
96,768,768,1.0
97,50,50,1.0
98,300,300,1.0
99,96,96,1.0
100,180,180,1.0
101,1536,1536,1.0
102,72,72,1.0
103,1176,1176,1.0
104,1080,1080,1.0
105,60,60,1.0
106,72,72,1.0
107,108,108,1.0
108,840,840,1.0
109,792,792,1.0
110,280,280,1.0
111,135,135,1.0
112,1296,1296,1.0
113,44,44,1.0
114,720,720,1.0
115,768,768,1.0
116,120,120,1.0
117,336,336,1.0
118,360,360,1.0
119,296,296,1.0
120,960,960,1.0
121,12,12,1.0
122,144,144,1.0
123,20,20,1.0
124,72,72,1.0
125,240,240,1.0
126,1440,1440,1.0
127,960,960,1.0
128,32,32,1.0
129,336,336,1.0
130,48,48,1.0
131,108,108,1.0
132,1848,1848,1.0
